canonical_item,category_guess,perishable_guess,base_unit,size_unit,first_date,last_date,weeks_observed_all,total_qty_all,total_qty_13w,units_per_week_all,units_per_week_13w,occurrences_all,occurrences_13w,raw_examples
Dixie To Go Disposable,Uncategorized,Non-perishable,each,oz,2026-02-11,2026-02-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Dixie To Go Disposable Paper Cups, 12 oz, Multi-Color, 36 Count"
Horizon Half And Half,Uncategorized,Non-perishable,each,fl oz,2026-02-11,2026-02-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Horizon Organic Half and Half Carton, 32 fl oz​"
Coffee Creamer,Uncategorized,Non-perishable,each,fl oz,2026-02-11,2026-02-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Horizon Organic Real Dairy Homestyle Vanilla Coffee Creamer Carton, 24 fl oz"
Dr Teal S Epsom,Uncategorized,Non-perishable,each,lbs,2026-03-02,2026-03-02,61.71,1.00,1.00,0.0162,0.0769,1,1,"(2 pack) Dr Teal's Epsom Salt Magnesium Soak, Relax & Relief with Eucalyptus & Spearmint, 3 lbs"
Kids Fruit Pouches,Produce,Perishable,each,oz,2025-01-02,2025-09-11,61.71,16.00,0.00,0.2593,0.0000,10,0,"Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack"
Cinnamon Raisin Bread,Bakery,Non-perishable,oz,oz,2025-01-12,2025-01-12,61.71,1.00,0.00,0.0162,0.0000,1,0,"Great Value Pre-Sliced Cinnamon Raisin Bread, 16 oz"
Plum Organics Jammy Sammy,Uncategorized,Non-perishable,each,oz,2025-01-12,2025-04-19,61.71,5.00,0.00,0.0810,0.0000,3,0,"Plum Organics® Jammy Sammy® Snack Size Sandwich Bar Blueberry + Oatmeal 5-Count Box/1.02oz Bars | (3 pack) Plum Organics Jammy Sammy Snack Bars, Blueberry and Oatmeal, 1.02 oz Bars, 5 Count"
Plum Organics Teensy Snacks,Uncategorized,Non-perishable,each,oz,2025-01-12,2025-02-17,61.71,6.00,0.00,0.0972,0.0000,3,0,Plum Organics® Teensy® Snacks Mixed Berry Soft Fruit Snacks .35oz Pouch/5-Count Box
Starbucks Peppermint Hot Cocoa,Uncategorized,Non-perishable,each,oz,2025-01-16,2025-01-16,61.71,1.00,0.00,0.0162,0.0000,1,0,Starbucks Peppermint Hot Cocoa Mix - 6oz/6ct
Waffles Cones,Uncategorized,Non-perishable,each,oz,2025-01-18,2025-01-18,61.71,1.00,0.00,0.0162,0.0000,1,0,"Great Value Waffles Cones, 7 oz, 12 Count"
Ice Cream,Uncategorized,Non-perishable,each,fl oz,2025-01-18,2025-04-19,61.71,5.00,0.00,0.0810,0.0000,5,0,"Great Value Cookies & Cream Ice Cream, 48 fl oz | Great Value Vanilla Bean Flavored Ice Cream, 48 fl oz | Great Value Chocolate Chip Cookie Dough Ice Cream, 48 fl oz | Turkey Hill Chocolate Chip Cookie Dough Ice Cream 46 fl oz Tub | Turkey Hill Choco Mint Chip Premium Ice Cream, 46 fl oz"
Hamburger Buns,Bakery,Non-perishable,each,oz,2025-01-18,2025-03-10,61.71,2.00,0.00,0.0324,0.0000,2,0,"Ball Park White Burger Buns, 8 count, Kosher Hamburger Buns, 15 oz Bag | Pepperidge Farm Sesame Topped Hamburger Buns, 8-Pack Bag"
Queso Melt Restaurant Style,Dairy,Perishable,oz,oz,2025-01-18,2025-02-22,61.71,4.00,0.00,0.0648,0.0000,3,0,"Queso-Melt Original Restaurant Style Melting Cheese, 10 oz, 1 Count"
Old El Paso Stand,Uncategorized,Non-perishable,each,oz,2025-01-18,2025-01-18,61.71,1.00,0.00,0.0162,0.0000,1,0,"Old El Paso Stand 'N Stuff Taco Shells, Gluten Free, Meal Prep, 10 Count, 4.7 oz"
Tazo Chai Pumpkin Spice,Uncategorized,Non-perishable,each,fl oz,2025-01-20,2025-01-20,61.71,1.00,0.00,0.0162,0.0000,1,0,Tazo Chai Pumpkin Spice Latte Tea Concentrate - 32 fl oz
Bottled Water,Uncategorized,Non-perishable,each,fl oz,2025-01-22,2025-11-22,61.71,3.00,0.00,0.0486,0.0000,2,0,"Deer Park Spring Water - 32 Pack/16.9 FL Oz, Plastic Bottles | (3 pack) Deer Park Spring Water, 2.5 gal, Single Plastic Jug"
Lipton Recipe Secrets Onion,Uncategorized,Non-perishable,each,oz,2025-01-25,2025-01-25,61.71,1.00,0.00,0.0162,0.0000,1,0,"Lipton Recipe Secrets Onion Dry Recipe Soup and Dip Mix, 2 Oz, 2 Pack"
Pasta Sauce,Produce,Perishable,each,oz,2025-01-25,2025-10-26,61.71,5.00,0.00,0.0810,0.0000,5,0,"(2 pack) Classico Tomato & Basil Spaghetti Pasta Sauce, 24 oz. Jar | Classico Tomato & Basil Pasta Sauce, 24 oz Jar"
Frozen Sunbutter No Crust,Uncategorized,Non-perishable,each,,2025-01-31,2025-01-31,61.71,1.00,0.00,0.0162,0.0000,1,0,Frozen Sunbutter No Crust Sandwich Strawberry - 4ct - Good & Gather™
Chinet Comfort Cup,Uncategorized,Non-perishable,each,oz,2025-01-31,2025-01-31,61.71,1.00,0.00,0.0162,0.0000,1,0,Chinet Comfort Cup - 18ct/16oz
Vicks Dayquil Nyquil Severe,Uncategorized,Non-perishable,each,,2025-02-03,2025-02-03,61.71,1.00,0.00,0.0162,0.0000,1,0,"Vicks DayQuil NyQuil Severe Cough, Cold & Flu Relief LiquiCaps, 24 Ct"
Mccormick Less Sodium Taco,Uncategorized,Non-perishable,each,oz,2025-02-08,2025-10-26,61.71,7.00,0.00,0.1134,0.0000,6,0,"McCormick 30% Less Sodium Taco Seasoning Mix, 1.0 oz Packet"
Trash Bags,Uncategorized,Non-perishable,each,,2025-02-17,2025-02-17,61.71,1.00,0.00,0.0162,0.0000,1,0,"Glad ForceFlex MaxStrength Tall Kitchen Drawstring Trash Bags, 13 Gallon, Odorshield, 20 Count"
Safety St Parent Grip,Uncategorized,Non-perishable,each,,2025-02-22,2025-07-30,61.71,3.00,0.00,0.0486,0.0000,2,0,"Safety 1st Parent Grip Door Knob Covers, White, 3 pack, Toddler"
Nature S Bakery Blueberry,Uncategorized,Non-perishable,each,oz,2025-02-26,2025-06-23,61.71,2.00,0.00,0.0324,0.0000,2,0,"Nature's Bakery Blueberry Fig Bars, 10 Twin packs, 2 oz Each"
Mucinex Nightshift Sinus Medicine,Uncategorized,Non-perishable,each,fl oz,2025-03-04,2025-03-04,61.71,1.00,0.00,0.0162,0.0000,1,0,"Mucinex Nightshift Sinus Medicine, OTC Fever Reducer, Cough Suppressant, Nasal Decongestant, 6 fl oz"
Mucinex Fast Max Kickstart,Uncategorized,Non-perishable,each,fl oz,2025-03-04,2025-03-04,61.71,1.00,0.00,0.0162,0.0000,1,0,"Mucinex Fast-Max Kickstart Severe Cold and Flu Medicine, OTC Cough Relief, Menthol Flavor, 6 fl oz"
Emergen C Immune Gummies,Uncategorized,Non-perishable,each,,2025-03-08,2025-03-08,61.71,1.00,0.00,0.0162,0.0000,1,0,"Emergen-C Immune+ Gummies Vitamin C Supplement for Immune Support, Super Orange, 45 Ct"
Vicks Vapo Shower Tablets,Uncategorized,Non-perishable,each,,2025-03-08,2025-03-08,61.71,1.00,0.00,0.0162,0.0000,1,0,"Vicks Vapo Shower Tablets, Menthol Scent Soothing Non-Medicated Shower Steamers, 3 Count"
Asp Cough St Adult,Uncategorized,Non-perishable,each,,2025-03-08,2025-03-08,61.71,1.00,0.00,0.0162,0.0000,1,0,ASP Cough & ST Adult FizzyChews 16CT
Mucinex Fast Max Cold,Uncategorized,Non-perishable,each,fl oz,2025-03-08,2025-03-08,61.71,1.00,0.00,0.0162,0.0000,1,0,"Mucinex Fast-Max Cold, Flu, & Sore Throat Relief Medicine, OTC Cough Suppressant, Expectorant, 6 fl oz"
Dish Soap,Uncategorized,Non-perishable,each,fl oz,2025-03-11,2025-03-11,61.71,1.00,0.00,0.0162,0.0000,1,0,"Dawn Powerwash Spray, Dish Soap, Dishwashing Liquid, Fresh, 1 Starter Kit, 16 Fl Oz"
Venus Extra Smooth Sensitive,Uncategorized,Non-perishable,each,,2025-03-19,2025-03-19,61.71,1.00,0.00,0.0162,0.0000,1,0,"Venus Extra Smooth Sensitive Women's 5 Blade Disposable Razor, 2 count, Blue"
Allegra Adult Hour Allergy,Uncategorized,Non-perishable,each,,2025-03-28,2025-03-28,61.71,1.00,0.00,0.0162,0.0000,1,0,"Allegra Adult 24-Hour Allergy Relief Gelcaps, Non-Drowsy Allergy Medicine, 180 mg Pill, 24 Count"
Gatorade Thirst Quencher Cool,Uncategorized,Non-perishable,each,fl oz,2025-04-08,2025-05-16,61.71,2.00,0.00,0.0324,0.0000,2,0,"Gatorade Thirst Quencher Cool Blue Sports Drinks, 12 fl oz, 12 Count Bottles"
Toothbrushes,Uncategorized,Non-perishable,each,,2025-04-08,2025-04-08,61.71,2.00,0.00,0.0324,0.0000,2,0,"Colgate 360 Whole Mouth Clean Adult Manual Toothbrush, Medium, 5 Pack | Colgate Extra Clean Full Head Adult Manual Toothbrush, Soft, 4 Pack"
Method All Purpose Cleaner,Uncategorized,Non-perishable,each,fl oz,2025-04-08,2025-09-11,61.71,2.00,0.00,0.0324,0.0000,2,0,"Method All-Purpose Cleaner, French Lavender, 28  fl oz"
Keebler Waffle Ice Cream,Uncategorized,Non-perishable,each,oz,2025-04-19,2025-04-19,61.71,1.00,0.00,0.0162,0.0000,1,0,"Keebler Waffle Ice Cream Cones, 5 oz, 12 ct"
Blue Bunny Soft Cookies,Uncategorized,Non-perishable,each,fl oz,2025-04-19,2025-04-19,61.71,1.00,0.00,0.0162,0.0000,1,0,"Blue Bunny Soft Cookies and Cream Premium Frozen Dessert, 46 fl oz"
Gillette Satin Care Ultra,Uncategorized,Non-perishable,each,oz,2025-04-26,2025-04-26,61.71,1.00,0.00,0.0162,0.0000,1,0,"Gillette Satin Care Ultra Sensitive Women's Shaving Gel Twin Pack, Fragrance-Free, 14 oz"
Toothpaste,Uncategorized,Non-perishable,each,oz,2025-04-26,2025-10-07,61.71,4.00,0.00,0.0648,0.0000,4,0,"Crest Toothpaste, 3DWhite Advanced Whitening Toothpaste, Radiant Mint, 3.3 oz, 3 Pack"
Russell Athletic Boy S,Uncategorized,Non-perishable,each,,2025-05-04,2025-07-08,61.71,2.00,0.00,0.0324,0.0000,2,0,"Russell Athletic Boy's Performance Mesh Shorts, 4-Pack, Sizes 4-18 & Husky"
Combat Max Large Roach,Uncategorized,Non-perishable,each,,2025-05-16,2025-05-16,61.71,1.00,0.00,0.0162,0.0000,1,0,"Combat Max Large Roach Killing Bait Stations, Child-resistant, 8 Count"
Spears Dill Pickle Pack,Uncategorized,Non-perishable,each,fl oz,2025-05-16,2025-05-16,61.71,1.00,0.00,0.0162,0.0000,1,0,"Great Value Kosher Spears Dill Pickle Fresh Pack, 24 fl oz Jar"
Pillsbury Cinnamon Rolls With,Uncategorized,Non-perishable,each,,2025-05-23,2025-05-23,61.71,2.00,0.00,0.0324,0.0000,1,0,"Pillsbury Cinnamon Rolls with Original Icing, Canned Pastry Dough, Value 2-Pack, 16 Rolls"
Sliced Cheese,Dairy,Perishable,oz,oz,2025-05-23,2025-09-01,61.71,4.00,0.00,0.0648,0.0000,2,0,"Great Value Mild Cheddar Deli Style Sliced Cheese, 8 oz Package, 12 Slices | Great Value Individually Plastic Wrapped Singles American Cheese Product, 16 oz, 24 Slices"
Martin S Hoagie Rolls,Uncategorized,Non-perishable,each,,2025-05-23,2025-07-01,61.71,4.00,0.00,0.0648,0.0000,2,0,"Martin's Hoagie Rolls, 6 count"
Cabot Creamery Lowfat Greek,Dairy,Perishable,each,lb,2025-06-05,2025-06-05,61.71,1.00,0.00,0.0162,0.0000,1,0,Cabot Creamery Lowfat Plain Greek Yogurt 2 lb (Refrigerated Tub)
Swiffer Heavy Duty Mop,Uncategorized,Non-perishable,each,,2025-06-05,2025-06-05,61.71,1.00,0.00,0.0162,0.0000,1,0,"Swiffer Heavy Duty Mop Wet Multi-Surface Cloth Refills for Floor Mopping, Lavender, 20 Count"
Ken S Steak House,Uncategorized,Non-perishable,each,fl oz,2025-06-08,2025-12-07,61.71,2.00,0.00,0.0324,0.0000,2,0,"Ken's Steak House® Creamy Caesar Salad Dressing, Topping & Spread 24 fl oz"
Oreo Cakesters Soft Snack,Uncategorized,Non-perishable,each,oz,2025-06-08,2025-07-10,61.71,8.00,0.00,0.1296,0.0000,6,0,"OREO Cakesters Soft Snack Cakes, 5 - 2.02 oz Snack Packs"
Old El Paso Mild,Uncategorized,Non-perishable,each,oz,2025-06-08,2025-06-23,61.71,2.00,0.00,0.0324,0.0000,2,0,"(4 pack) Old El Paso Mild Red Enchilada Sauce, 1 Ct., 10 oz."
Soundcore Aeroclip Open Ear,Uncategorized,Non-perishable,each,,2025-06-10,2025-06-10,61.71,1.00,0.00,0.0162,0.0000,1,0,"Soundcore AeroClip Open-Ear Earbuds, Midnight Black, Retail Packaging"
Olay Firming Body Lotion,Uncategorized,Non-perishable,each,fl oz,2025-06-17,2025-06-17,61.71,1.00,0.00,0.0162,0.0000,1,0,"Olay Firming Body Lotion, Hydrating, Collagen, Pump 17 fl oz"
Columbus Peppered Salami Sliced,Uncategorized,Perishable,each,oz,2025-06-25,2025-06-25,61.71,1.00,0.00,0.0162,0.0000,1,0,"COLUMBUS, Peppered Salami, Sliced Charcuterie Meat, 10oz Pack"
Soda,Uncategorized,Non-perishable,each,fl oz,2025-06-25,2025-10-26,61.71,4.00,0.00,0.0648,0.0000,3,0,"Starry Lemon Lime Soda Pop, 7.5 fl oz, 10 Pack Mini Cans"
Fram Extra Guard Oil,Uncategorized,Non-perishable,each,,2025-06-27,2025-06-27,61.71,2.00,0.00,0.0324,0.0000,2,0,"FRAM Extra Guard Oil Filter, CH9713, 10K mile Filter for Dodge, Fiat and Jeep Vehicles Fits select: 2012-2019 FIAT 500, 2013-2016 DODGE DART | FRAM Extra Guard Oil Filter, PH4967, 10K Miles, Replacement Oil Filter Fits Select Vehicles"
Lunchables Turkey Cheddar Value,Meat,Non-perishable,each,oz,2025-07-01,2025-07-01,61.71,1.00,0.00,0.0162,0.0000,1,0,"Lunchables Turkey & Cheddar Value Pack, 1.9 oz Pack"
Lunchables Ham Cheddar Value,Uncategorized,Non-perishable,each,oz,2025-07-01,2025-09-11,61.71,40.00,0.00,0.6481,0.0000,10,0,"Lunchables Ham & Cheddar Value Pack, 1.9 oz Pack"
Russell Athletic Boys Runner,Uncategorized,Non-perishable,each,,2025-07-08,2025-07-08,61.71,1.00,0.00,0.0162,0.0000,1,0,"Russell Athletic Boys Runner Tech Short Sleeve T-Shirt, 4-Pack, Sizes 4-18 & Husky"
Drumstick Crushed It Cookies,Uncategorized,Non-perishable,each,,2025-07-10,2025-07-10,61.71,1.00,0.00,0.0162,0.0000,1,0,"Drumstick Crushed It Cookies and Cream Sundae Cones, Kosher, 8 Count"
Mccormick Pure Vanilla Extract,Uncategorized,Non-perishable,each,fl oz,2025-07-16,2025-11-22,61.71,2.00,0.00,0.0324,0.0000,2,0,"McCormick Pure Vanilla Extract, 2.0 fl oz Box"
Vegetable Oil Heart Healthy,Uncategorized,Non-perishable,each,fl oz,2025-07-16,2025-07-16,61.71,1.00,0.00,0.0162,0.0000,1,0,"Great Value Vegetable Oil, Heart Healthy and Versatile, 48 fl oz Bottle"
Midol Complete Menstrual Pain,Uncategorized,Non-perishable,each,,2025-07-25,2025-07-25,61.71,1.00,0.00,0.0162,0.0000,1,0,"Midol Complete Menstrual Pain Relief Gelcaps With Acetaminophen for Menstrual Symptom, PMS Relief, and Period Cramp Relief - 24 Count"
Ophanie Inch Wood Floating,Uncategorized,Non-perishable,each,,2025-07-26,2025-07-26,61.71,2.00,0.00,0.0324,0.0000,1,0,"Ophanie 22.5 inch 2 Pack Wood Floating Shelves, Hanging Float Shelf for Wall Mounted Decorative Shelves, 6.7 x 23 Inch, Set of 2, Rustic Brown-"
Parent S Choice Compartment,Uncategorized,Non-perishable,each,,2025-07-28,2025-07-28,61.71,1.00,0.00,0.0162,0.0000,1,0,"Parent's Choice 3 Compartment Section Plate, Toddlers Aged 12 Months and up, 3 Count, Gender Neutral"
Mr Clean Magic Eraser,Uncategorized,Non-perishable,each,,2025-07-28,2025-07-28,61.71,1.00,0.00,0.0162,0.0000,1,0,Mr. Clean Magic Eraser Extra Durable All Purpose Cleaning Pads with Durafoam 7 Count
Sterilite Quart Clear Storage,Uncategorized,Non-perishable,each,,2025-07-28,2025-07-28,61.71,1.00,0.00,0.0162,0.0000,1,0,"(3 pack) Sterilite, 15 Quart Clear Storage Bin, Latch Box Storage Container, with Clear Lid, Blue"
Sterilite Small Storage Bin,Uncategorized,Non-perishable,each,,2025-07-28,2025-07-28,61.71,2.00,0.00,0.0324,0.0000,1,0,"(2 pack) Sterilite Small Storage Bin, 28 Quart Clear Plastic Storage Container with Snap-On Lid, White"
Purina One True Instinct,Meat,Non-perishable,each,lb,2025-07-28,2025-07-28,61.71,1.00,0.00,0.0162,0.0000,1,0,"Purina One True Instinct Dry Dog Food for Adult Dogs, High Protein Real Turkey & Venison, 7.4 lb Bag"
Pen Gear Letter Size,Uncategorized,Non-perishable,each,,2025-07-29,2025-07-29,61.71,1.00,0.00,0.0162,0.0000,1,0,"Pen+Gear Letter Size Hanging File Folders, 12 Count, Green"
Pen Gear Push Pins,Uncategorized,Non-perishable,each,,2025-07-30,2025-07-30,61.71,1.00,0.00,0.0162,0.0000,1,0,"Pen+Gear Push Pins in Clamshell, Clear Plastic Head, Steel Point, 100 Count."
Cantu Shea Butter For,Uncategorized,Non-perishable,each,oz,2025-07-31,2025-07-31,61.71,1.00,0.00,0.0162,0.0000,1,0,(2 pack) Cantu Shea Butter for Natural Hair Complete Conditioning Co-Wash 10 oz
Ophanie Adhesive Shower Caddy,Uncategorized,Non-perishable,each,,2025-07-31,2025-07-31,61.71,1.00,0.00,0.0162,0.0000,1,0,"Ophanie Adhesive Shower Caddy 6 Pack, Large Capacity Bathroom Organizers and Storage, No Drilling Wall-Mounted Basket, Black"
Storage Bags,Uncategorized,Non-perishable,each,,2025-08-07,2025-11-30,61.71,2.00,0.00,0.0324,0.0000,2,0,"Great Value Fresh Seal Double Zipper Sandwich Bags, 100 Count | Ziploc® Brand Sandwich Bags with EasyGuide™ Texture, Grip 'n Seal Technology™, Food Storage, Zipper, 300 Count"
Safety St Custom Fit,Uncategorized,Non-perishable,each,,2025-08-07,2025-08-07,61.71,1.00,0.00,0.0162,0.0000,1,0,"Safety 1st Custom Fit All Purpose Strap (2pk), Decor, Charcoal, Toddler"
Goody Ouchless Mini Poly,Uncategorized,Non-perishable,each,,2025-08-13,2025-08-13,61.71,1.00,0.00,0.0162,0.0000,1,0,"Goody Ouchless Mini Poly Band Hair Ties, No Metal Gentle Hair Elastics, Clear, 250 Ct"
Cantu Care For Kids,Uncategorized,Non-perishable,each,fl oz,2025-08-13,2025-08-13,61.71,1.00,0.00,0.0162,0.0000,1,0,"Cantu Care for Kids Paraben & Sulfate-Free Conditioning Detangling Spray, 6 fl oz"
Goody Sport Active Elastic,Uncategorized,Non-perishable,each,,2025-08-13,2025-08-13,61.71,1.00,0.00,0.0162,0.0000,1,0,"Goody Sport Active Elastic Hair Ties, Assorted Colors, 8 ct"
Goody Ouchless Hair Elastics,Uncategorized,Non-perishable,each,,2025-08-13,2025-08-13,61.71,1.00,0.00,0.0162,0.0000,1,0,"Goody Ouchless Hair Elastics, No Metal Gentle Hair Ties, Blonde, 30 Ct"
Dr Scholl S Blister,Uncategorized,Non-perishable,each,,2025-08-14,2025-08-14,61.71,1.00,0.00,0.0162,0.0000,1,0,"Dr. Scholl's Blister Pain Relief Complete Kit with Lidocaine, 8 Count"
Ink Cartridges Compatible For,Uncategorized,Non-perishable,each,,2025-08-18,2025-08-18,61.71,1.00,0.00,0.0162,0.0000,1,0,902 Ink Cartridges Compatible for HP 902XL Ink Cartridges (4-Pack)
Mucinex Fast Max Severe,Uncategorized,Non-perishable,each,fl oz,2025-08-21,2025-08-21,61.71,1.00,0.00,0.0162,0.0000,1,0,"Mucinex Fast-Max Severe Congestion & Cough Medicine, OTC Sinus/Nasal Decongestant, Expectorant, 6 fl oz"
Mucinex Children S Night,Uncategorized,Non-perishable,each,fl oz,2025-08-21,2025-08-21,61.71,1.00,0.00,0.0162,0.0000,1,0,"Mucinex,Children's Night Time, Multi-Symptom Cold Relief, Mixed Berry Flavor, 4fl oz, Plastic Bottle"
Mucinex Children S Stuffy,Uncategorized,Non-perishable,each,fl oz,2025-08-21,2025-08-21,61.71,1.00,0.00,0.0162,0.0000,1,0,"Mucinex Children's Stuffy Nose & Chest Congestion Relief, Kids Medicine, Very Berry Flavor, 4 fl oz"
Del Monte Cut Green,Pantry,Non-perishable,each,oz,2025-09-01,2025-09-01,61.71,1.00,0.00,0.0162,0.0000,1,0,"Del Monte Fresh Cut Green Beans, Canned Vegetables, 14.5 oz Can (Pack of 4)"
Swiffer Sweep Mop Wet,Uncategorized,Non-perishable,each,,2025-09-11,2025-09-11,61.71,1.00,0.00,0.0162,0.0000,1,0,"Swiffer Sweep + Mop, Wet Pads Refill, Floor Cleaner, Cleaning Cloths, Gain, 24 Count"
Gatorade Sports Drinks Grape,Uncategorized,Non-perishable,each,fl oz,2025-09-18,2025-09-18,61.71,1.00,0.00,0.0162,0.0000,1,0,"Gatorade Sports Drinks, Grape,Strawberry and Berry Flavored Variety Pack, 12 fl oz, 18 Count Bottles"
Pen Gear No Size,Uncategorized,Non-perishable,each,,2025-09-30,2025-09-30,61.71,1.00,0.00,0.0162,0.0000,1,0,"Pen+Gear No. 1 Size Smooth Paper Clips, Silver, 100 Count"
Shampoo,Uncategorized,Non-perishable,each,fl oz,2025-11-11,2025-11-11,61.71,1.00,0.00,0.0162,0.0000,1,0,"Method Repairing Shampoo, Island Mist, 14 fl oz"
Little Debbie Christmas Tree,Uncategorized,Non-perishable,each,oz,2025-11-11,2025-11-22,61.71,3.00,0.00,0.0486,0.0000,2,0,"Little Debbie Christmas Tree Brownies, 8 oz, 5 Count"
Little Debbie Chocolate Christmas,Uncategorized,Non-perishable,each,oz,2025-11-16,2025-11-16,61.71,2.00,0.00,0.0324,0.0000,1,0,"Little Debbie Chocolate Christmas Tree Cakes, 8.25 oz, 5 Count"
Evaporated Milk,Dairy,Perishable,fl oz,fl oz,2025-11-22,2025-11-22,61.71,1.00,0.00,0.0162,0.0000,1,0,"Great Value Evaporated Milk, 12 fl oz"
Ez Foil Disposable Casserole,Uncategorized,Non-perishable,each,,2025-11-22,2025-11-22,61.71,2.00,0.00,0.0324,0.0000,1,0,"EZ Foil Disposable Casserole Pans, 11.75 x 9.25 in., 2 Count"
Little Debbie Big Pack,Uncategorized,Non-perishable,each,,2025-11-22,2025-11-22,61.71,1.00,0.00,0.0162,0.0000,1,0,Little Debbie Big Pack Christmas Tree Cakes
Fram Ultra Synthetic Oil,Uncategorized,Non-perishable,each,,2025-11-25,2025-11-25,61.71,1.00,0.00,0.0162,0.0000,1,0,"FRAM Ultra Synthetic Oil Filter, XG4967, 20K mile Replacement Filter for Select Toyota Vehicles"
Coffee Filters,Uncategorized,Non-perishable,each,,2025-11-30,2025-11-30,61.71,1.00,0.00,0.0162,0.0000,1,0,"Melitta 8-12 Cup White Basket Coffee Filters, 200 Ct"
